data_id,year,product_id,food,production,import_quantity,export_quantity
234,1971,3,18000.0,31164.0,2213.0,2470.0
235,1971,4,2378.0,2532.0,55.0,0.5
236,1971,5,2511.89,1925.3,205.24,309.49
237,1971,6,1599.0,1675.0,461.0,16.0
238,1971,7,7252.0,8264.0,735.0,14.0
239,1971,8,14433.26,45228.0,3867.0,181.0
240,1971,9,79.0,11.0,63.0,2.0
241,1971,10,2258.0,2133.0,462.0,379.0
242,1971,11,885.0,4420.0,0.0,41.0
243,1971,12,1609.0,2277.0,0.0,0.0
244,1971,13,11372.0,30576.1,58.0,146.0
245,1971,14,1270.0,1183.0,87.0,0.0
246,1971,15,1119.0,886.0,341.0,150.0
247,1971,16,6230.0,11508.0,0.0,120.0
248,1971,17,5524.0,1021.0,1546.0,110.0
249,1971,18,100.0,69.0,43.0,11.0
250,1971,19,11724.0,18402.0,883.0,45.0
251,1971,20,16026.0,32834.0,2731.0,8476.0
252,1972,0,5120.0,4367.2,872.1,151.1
253,1972,1,246.0,25300.0,265.0,298.0
254,1972,2,3722.0,138.0,59.0,0.0
255,1972,3,18100.0,38400.0,2354.0,2680.0
256,1972,4,2528.0,2689.0,59.0,0.5
257,1972,5,3336.11,2162.5,200.42,300.97
258,1972,6,1889.0,1979.0,434.0,23.0
259,1972,7,7299.0,8306.0,748.0,17.0
260,1972,8,14660.72,44310.0,3987.0,178.0
261,1972,9,87.0,13.0,71.0,0.0
262,1972,10,2320.0,2004.0,502.0,395.0
263,1972,11,896.0,4580.0,0.0,130.0
264,1972,12,1236.0,2445.0,0.0,0.0
265,1972,13,19695.0,25848.5,136.0,84.0
266,1972,14,1282.0,1237.0,45.0,0.0
267,1972,15,1116.0,1022.0,287.0,290.0
268,1972,16,5928.0,8670.0,100.0,95.0
269,1972,17,5438.0,1315.0,1933.0,163.0
270,1972,18,107.0,71.0,48.0,12.0
271,1972,19,11133.0,17566.0,820.0,55.0
272,1972,20,16086.0,30833.0,8528.0,4412.0
273,1973,0,5193.0,4651.8,644.5,73.0
274,1973,1,255.0,24935.5,202.0,276.0
275,1973,2,3873.0,91.0,72.0,0.0
276,1973,3,17800.0,41301.0,2003.0,2720.0
277,1973,4,2707.0,2896.0,46.0,0.4
278,1973,5,3065.47,2806.9,200.95,296.74
279,1973,6,1657.0,1074.0,393.0,10.0
280,1973,7,7309.0,8324.0,756.0,17.0
281,1973,8,14892.45,47015.0,4023.0,189.0
282,1973,9,97.0,14.0,82.0,1.0
283,1973,10,2545.0,2714.0,470.0,342.0
284,1973,11,835.0,5581.0,0.0,32.0
285,1973,12,1639.0,2081.0,0.0,0.0
286,1973,13,10469.0,35700.6,354.0,80.0
287,1973,14,1338.0,1295.0,43.0,0.0
288,1973,15,1057.0,1094.0,158.0,250.0
289,1973,16,4167.0,9680.0,130.0,55.0
290,1973,17,5078.0,2538.0,2636.0,155.0
291,1973,18,100.0,75.0,37.0,13.0
292,1973,19,11539.0,12186.0,930.0,75.0
293,1973,20,15864.0,30319.0,1560.0,5017.0
294,1974,0,5132.5,4762.0,544.1,83.1
295,1974,1,265.0,16468.0,138.0,924.0
296,1974,2,3384.0,89.0,53.0,0.0
297,1974,3,17300.0,41071.0,2001.0,3109.0
298,1974,4,2907.0,3117.0,43.0,0.5
299,1974,5,3212.47,3036.7,153.98,356.2
300,1974,6,1305.0,1587.0,419.0,20.0
301,1974,7,7310.0,8426.0,752.0,22.0
302,1974,8,15121.99,48930.0,4143.0,201.0
303,1974,9,96.0,9.0,86.0,0.0
304,1974,10,2406.0,2565.0,460.0,481.0
305,1974,11,864.0,5000.0,0.0,30.0
306,1974,12,1998.0,2515.0,0.0,0.0
307,1974,13,11256.0,26737.2,206.0,165.0
308,1974,14,1496.0,420.0,76.0,0.0
309,1974,15,1122.0,1187.0,199.0,150.0
310,1974,16,5715.0,13700.0,691.0,31.0
311,1974,17,5099.0,2730.0,1876.0,112.0
